long,lat,id,programa,actividad,sede,horario,telefono,email,web,facebook,twitter,observacio,objeto,calle_nomb,calle_altu,cruce,barrio,comuna,codigo_pos,codigo_p_1,geometry
-58.47437315858228,-34.645945618968184,71,Polideportivos,Apoyo Escolar - Atletismo - Básquet - Boxeo - Escuelita de Fútbol (EFI) - Fútbol - Gimnasia Aeróbica - Gimnasia Artística - Musculación - Patín - Taekwondo - Tenis - Vóley,Polideportivo Avellaneda,,4671-5932,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Lacarra Av.,1257,,Parque Avellaneda,Comuna 9,,,POINT (-58.47437315858228 -34.645945618968184)
-58.47422386270446,-34.645812463467976,86,Polos Deportivos,Atletismo,Polideportivo Avellaneda,,4010-0300,prensadeportesciudad@gmail.com,http://www.buenosaires.gob.ar/vicejefatura/deportes,facebook.com/deportesba,twitter.com/deportesba,,PROGRAMAS DEPORTIVOS,Lacarra Av.,1257,,Parque Avellaneda,Comuna 9,,,POINT (-58.47422386270446 -34.645812463467976)
-58.44462286277523,-34.6330462767968,72,Polideportivos,Aerobic Jazz - Aerobox - Ajedrez - Aquagym - Atletismo - Boxeo Recreativo - Caminata - Coro - Danza - Folklore - Fútbol - Gimnasia Adultos Mayores - Gimnasia Artística - Gimnasia Correctiva - Gimnasia Deportiva - Gimnasia Femenina - Gimnasia Funcional,Polideportivo Chacabuco,,4921- 5776,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Peron, Eva Av.",1410,,Parque Chacabuco,Comuna 7,,,POINT (-58.44462286277523 -34.6330462767968)
-58.44476269009785,-34.63290590599625,87,Polos Deportivos,Patín,Polideportivo Chacabuco,Viernes de 17:30 a 19:30 hs // Sábado de 10:00 a 13:00 hs // Martes de 17:30 a 19:30 hs,4010-0300,prensadeportesciudad@gmail.com,http://www.buenosaires.gob.ar/vicejefatura/deportes,facebook.com/deportesba,twitter.com/deportesba,,PROGRAMAS DEPORTIVOS,"Peron, Eva Av.",1410,,Parque Chacabuco,Comuna 7,,,POINT (-58.44476269009785 -34.63290590599625)
-58.44476269009785,-34.63290590599625,88,Polos Deportivos,Esgrima,Polideportivo Chacabuco,Jueves de 18:30 a 19:30 hs // Sábado de 13:00 a 16:00 hs,4010-0300,prensadeportesciudad@gmail.com,http://www.buenosaires.gob.ar/vicejefatura/deportes,facebook.com/deportesba,twitter.com/deportesba,,PROGRAMAS DEPORTIVOS,"Peron, Eva Av.",1410,,Parque Chacabuco,Comuna 7,,,POINT (-58.44476269009785 -34.63290590599625)
-58.44500207384208,-34.57931194188228,73,Polideportivos,Acondicionamiento Deportivo - Bádminton - Básquet - Caminata Aeróbica - Escuelita de Fútbol (EFI) - Esgrima - Folklore - Fútbol Adolescente - Fútbol Femenino - Fútbol Infantil - Gimnasia Adultos Mayores - Gimnasia Aero Localizada - Gimnasia Locali,Polideportivo Colegiales,,4555-7074,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Freire, Ramon, Cap. Gral.",234,,Colegiales,Comuna 13,,,POINT (-58.44500207384208 -34.57931194188228)
-58.44517815121372,-34.579009235576564,90,Polos Deportivos,Fútbol,Polideportivo Colegiales,Viernes de 18:00 a 20:30 hs // Lunes de 18:00 a 20:30 hs,4010-0300,prensadeportesciudad@gmail.com,http://www.buenosaires.gob.ar/vicejefatura/deportes,facebook.com/deportesba,twitter.com/deportesba,,PROGRAMAS DEPORTIVOS,"Freire, Ramon, Cap. Gral.",234,,Colegiales,Comuna 13,,,POINT (-58.44517815121372 -34.579009235576564)
-58.44517815121372,-34.579009235576564,89,Polos Deportivos,Hándball,Polideportivo Colegiales,Miércoles de 17:30 a 20:30 hs // Viernes de 17:30 a 20:30 hs,4010-0300,prensadeportesciudad@gmail.com,http://www.buenosaires.gob.ar/vicejefatura/deportes,facebook.com/deportesba,twitter.com/deportesba,,PROGRAMAS DEPORTIVOS,"Freire, Ramon, Cap. Gral.",234,,Colegiales,Comuna 13,,,POINT (-58.44517815121372 -34.579009235576564)
-58.477005846316395,-34.591672872874554,74,Polideportivos,Complemento de Pesas - Coro - Fútbol - Gimnasia - Levantamiento de Pesas - Tenis,Polideportivo Costa Rica,,4521-8063,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,De Los Constituyentes Av.,3050,,Agronomia,Comuna 15,,,POINT (-58.477005846316395 -34.591672872874554)
-58.476967976346685,-34.591493021566635,91,Polos Deportivos,Pesas,Polideportivo Costa Rica,Martes de 16:00 a 19:00 hs // Jueves de 16:00 a 19:00 hs,4010-0300,prensadeportesciudad@gmail.com,http://www.buenosaires.gob.ar/vicejefatura/deportes,facebook.com/deportesba,twitter.com/deportesba,,PROGRAMAS DEPORTIVOS,De Los Constituyentes Av.,3050,,Agronomia,Comuna 15,,,POINT (-58.476967976346685 -34.591493021566635)
-58.37453318281138,-34.64686162591949,75,Polideportivos,Básquet - Entrenamiento Funcional - Escuelita de Fútbol (EFI) - Fútbol - Fútbol Femenino Recreativo - Gimnasia Adultos - Gimnasia Rítmica - Hándball - Patín Artístico - Taller de Salud Mental - Tenis - Vóley,Polideportivo Don Pepe,,4302-1618,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Hornos, Gral.",1800,,Barracas,Comuna 4,,,POINT (-58.37453318281138 -34.64686162591949)
-58.49506349508334,-34.66675849483275,40,Núcleos BA,Artes Marciales - Boxeo - Defensa Personal - Fútbol,Polideportivo Dorrego,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Monte,,"De La Torre, Lisandro Av.",Mataderos,Comuna 9,,,POINT (-58.49506349508334 -34.66675849483275)
-58.49546251756975,-34.66680495701317,76,Polideportivos,Aeróbica - Básquet - Crossfit - Entrenamiento - Escuelita de Fútbol (EFI) - Fútbol - Gimnasia Artística - Running - Tenis - Vóley,Polideportivo Dorrego,,4687- 6823,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Monte,,"De La Torre, Lisandro Av.",Mataderos,Comuna 9,,,POINT (-58.49546251756975 -34.66680495701317)
-58.40849746051827,-34.626088721984715,77,Polideportivos,Entrenamiento Funcional - Gimnasia Adultos - Gimnasia Deportiva - Gimnasia Localizada - Natación - Ritmos,Polideportivo Martin Fierro,,4941-2054,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Oruro,1300,,San Cristobal,Comuna 3,,,POINT (-58.40849746051827 -34.626088721984715)
-58.51373174590506,-34.594465193876225,78,Polideportivos,Aerolocal - Básquet - Entrenamiento Funcional - Fútbol - Gimnasia - Gimnasia Aeróbica - Hándball - Hockey - Newcom - Tenis - Vóley,Polideportivo Onega,,4504-2711,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Mistral, Gabriela",3819,,Villa Devoto,Comuna 11,,,POINT (-58.51373174590506 -34.594465193876225)
-58.40887086489364,-34.6395535888878,79,Polideportivos,Aeróbica - Ajedrez - Básquet - Boxeo - Coro - Escuelita de Fútbol (EFI) - Folklore - Fútbol Adolescente - Fútbol Infantil - Gimnasia Adultos Mayores - Gimnasia Aeróbica - Gimnasia Artística - Guitarra - Hándball - Musculación - Stretching - Taek,Polideportivo Patricios,,4911-4642,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Pepiri,135,,Parque Patricios,Comuna 4,,,POINT (-58.40887086489364 -34.6395535888878)
-58.40865845055887,-34.639583570474684,94,Polos Deportivos,Fútbol,Polideportivo Patricios,Miércoles de 17:00 a 20:00 hs,4010-0300,prensadeportesciudad@gmail.com,http://www.buenosaires.gob.ar/vicejefatura/deportes,facebook.com/deportesba,twitter.com/deportesba,,PROGRAMAS DEPORTIVOS,Pepiri,135,,Parque Patricios,Comuna 4,,,POINT (-58.40865845055887 -34.639583570474684)
-58.40865845055887,-34.63958357047469,93,Polos Deportivos,Tenis,Polideportivo Patricios,,4010-0300,prensadeportesciudad@gmail.com,http://www.buenosaires.gob.ar/vicejefatura/deportes,facebook.com/deportesba,twitter.com/deportesba,,PROGRAMAS DEPORTIVOS,Pepiri,135,,Parque Patricios,Comuna 4,,,POINT (-58.40865845055887 -34.63958357047469)
-58.40865845055887,-34.639583570474684,92,Polos Deportivos,Natación,Polideportivo Patricios,Viernes de 18:00 a 20:00 hs // Lunes de 18:00 a 20:00 hs // Sábado de 10:00 a 13:00 hs,4010-0300,prensadeportesciudad@gmail.com,http://www.buenosaires.gob.ar/vicejefatura/deportes,facebook.com/deportesba,twitter.com/deportesba,,PROGRAMAS DEPORTIVOS,Pepiri,135,,Parque Patricios,Comuna 4,,,POINT (-58.40865845055887 -34.639583570474684)
-58.3893810465313,-34.649271439237204,80,Polideportivos,Ajedrez - Básquet - Coordinacion Deportiva - Escuelita de Fútbol (EFI) - Fútbol Adolescente Femenino - Fútbol Adolescente Masculino - Fútbol Infantil - Fútbol para Adultos - Gimnasia Adultos Mayores - Gimnasia Modeladora - Hockey - Recreación - Te,Polideportivo Pereyra,,4301-3700,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Velez Sarsfield Av.,1271,,Barracas,Comuna 4,,,POINT (-58.3893810465313 -34.649271439237204)
-58.389290773825046,-34.649017214376975,95,Polos Deportivos,Hockey,Polideportivo Pereyra,,4010-0300,prensadeportesciudad@gmail.com,http://www.buenosaires.gob.ar/vicejefatura/deportes,facebook.com/deportesba,twitter.com/deportesba,,PROGRAMAS DEPORTIVOS,Velez Sarsfield Av.,1271,,Barracas,Comuna 4,,,POINT (-58.389290773825046 -34.649017214376975)
-58.491215049576866,-34.62216077292436,81,Polideportivos,Ajedrez - Bádminton - Básquet - Escuelita de Fútbol (EFI) - Fútbol - Fútbol Infantil - Gimnasia Adultos Mayores - Gimnasia Artística - Gimnasia Modeladora - Gimnasia Rítmica - Hándball - Hockey - Karate - Newcom - Stretching - Tenis - Vóley Adul,Polideportivo Pomar,,4568-0184,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Mercedes,1300,,Floresta,Comuna 10,,,POINT (-58.491215049576866 -34.62216077292436)
-58.513200645991766,-34.64633763177949,82,Polideportivos,Básquet - Educación Física Infantil - Entrenamiento Alternativo - Entrenamiento Funcional - Fútbol - G.A.P. - Gimnasia Aero Localizada - Gimnasia Localizada - Hándball - Hockey - Iniciación Deportiva - Ritmos Latinos - Taekwondo - Tenis - Vóley -,Polideportivo Santojanni,,4641-2462,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Patron,6222,,Liniers,Comuna 9,,,POINT (-58.513200645991766 -34.64633763177949)
-58.513665543860284,-34.646542969990556,97,Polos Deportivos,Hockey,Polideportivo Santojanni,Martes de 17:30 a 19:30 hs // Viernes de 17:30 a 19:30 hs,4010-0300,prensadeportesciudad@gmail.com,http://www.buenosaires.gob.ar/vicejefatura/deportes,facebook.com/deportesba,twitter.com/deportesba,,PROGRAMAS DEPORTIVOS,Patron,6222,,Liniers,Comuna 9,,,POINT (-58.513665543860284 -34.646542969990556)
-58.513665543860284,-34.646542969990556,96,Polos Deportivos,Tenis,Polideportivo Santojanni,Martes de 17:30 a 19:30 hs // Jueves de 17:30 a 19:30 hs,4010-0300,prensadeportesciudad@gmail.com,http://www.buenosaires.gob.ar/vicejefatura/deportes,facebook.com/deportesba,twitter.com/deportesba,,PROGRAMAS DEPORTIVOS,Patron,6222,,Liniers,Comuna 9,,,POINT (-58.513665543860284 -34.646542969990556)
-58.44503622931571,-34.668712487562374,41,Núcleos BA,Atletismo - Fútbol - Vóley,Portal Lacarra,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Lacarra Av.,3500,,Villa Soldati,Comuna 8,,,POINT (-58.44503622931571 -34.668712487562374)
-58.44132809106522,-34.55074802191098,15,BA Discapacidad,Colonia de Vacaciones - Teatro,Ramsay,Martes de 15:00 a 18:30 hs // Viernes de 15:00 a 18:30 hs // Viernes de 15:00 a 18:30 hs // Sábado de 10:00 a 17:00 hs // Martes de 15:00 a 18:30 hs // Sábado de 10:00 a 17:00 hs,,deportesdiscapacidad@buenosaires.gob.ar,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Ramsay,2250,,Belgrano,Comuna 13,,,POINT (-58.44132809106522 -34.55074802191098)
-58.432787601655725,-34.61701823783958,64,Plazas Activas,Full Local - Gym Local - Ritmos,Rivadavia,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Rivadavia Av.,,Campichuelo,Caballito,Comuna 6,,,POINT (-58.432787601655725 -34.61701823783958)
-58.411870002058656,-34.571368930856245,11,BA Corre,Acondicionamiento Físico - Caminata - Running,Rosedal,Martes de 19:00 a 21:00 hs // Jueves de 19:00 a 21:00 hs // Jueves de 19:00 a 21:00 hs // Martes de 19:00 a 21:00 hs // Jueves de 19:00 a 21:00 hs // Martes de 19:00 a 21:00 hs,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Figueroa Alcorta, Pres. Av.",,Sarmiento Av.,Palermo,Comuna 14,,,POINT (-58.411870002058656 -34.571368930856245)
-58.41230425709167,-34.572161491512304,65,Plazas Activas,Entrenamiento Funcional - Gimnasia Correctiva - Gym Local - Patín - Ritmos - Stretching - Yoga,Rosedal,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Sarmiento Av.,3901,,Palermo,Comuna 14,,,POINT (-58.41230425709167 -34.572161491512304)
-58.39376624817436,-34.58365032816351,66,Plazas Activas,Gimnasia Postural - Gym Local - Ritmos - Stretching - Yoga,Ruben Dario,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Agote, Luis Dr.",,Del Libertador Av.,Recoleta,Comuna 2,,,POINT (-58.39376624817436 -34.58365032816351)
-58.48010009329343,-34.551238463432384,67,Plazas Activas,Cardio Gym - Gimnasia - Yoga,Saavedra,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Garcia Del Rio,,Melian Av.,Saavedra,Comuna 12,,,POINT (-58.48010009329343 -34.551238463432384)
-58.49830096699435,-34.553320059476675,16,BA Discapacidad,Colonia de Vacaciones,Sarmiento,Sábado de 10:00 a 17:00 hs,,deportesdiscapacidad@buenosaires.gob.ar,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Balbin, Ricardo, Dr. Av.",4750,,Saavedra,Comuna 12,,,POINT (-58.49830096699435 -34.553320059476675)
-58.452809453389165,-34.664113320604294,38,Núcleos BA,Básquet - Vóley,Villa Piletones,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Lacarra Av.,,"Barros Pazos, Jose",Villa Soldati,Comuna 8,,,POINT (-58.452809453389165 -34.664113320604294)
