long,lat,objectid,clave_vere,numero_ord,clave_vado,origendato
-58.3698367515054,-34.5856807369629,79731,003-098A-000-3247-3,4,003-098A-000-3247-3-4,VueloFotogrametrico
-58.3672673424383,-34.5860719842293,79732,003-098A-000-4113-1,1,003-098A-000-4113-1-1,VueloFotogrametrico
-58.3668163101393,-34.5855110279428,79733,003-098A-000-4113-1,2,003-098A-000-4113-1-2,VueloFotogrametrico
-58.3687957319342,-34.5844041937941,79734,003-098A-000-4113-1,3,003-098A-000-4113-1-3,VueloFotogrametrico
-58.3687607578357,-34.5843978631768,79735,003-098A-000-4113-1,4,003-098A-000-4113-1-4,VueloFotogrametrico
-58.369179327988,-34.5849120934052,79736,003-098A-000-4113-2,1,003-098A-000-4113-2-1,VueloFotogrametrico
-58.36973761561,-34.5855416726858,79737,003-098A-000-4113-4,1,003-098A-000-4113-4-1,VueloFotogrametrico
-58.3697265327645,-34.585504324665,79738,003-098A-000-4113-4,2,003-098A-000-4113-4-2,VueloFotogrametrico
-58.3693247119811,-34.5850975224215,79739,003-098A-000-4113-4,3,003-098A-000-4113-4-3,VueloFotogrametrico
-58.3676602010162,-34.5870612138525,79740,003-098V-999-3247-1,1,003-098V-999-3247-1-1,VueloFotogrametrico
-58.3677903650479,-34.586985122262,79741,003-098V-999-3247-1,2,003-098V-999-3247-1-2,VueloFotogrametrico
-58.3710632031243,-34.588733024954,79742,003-100A-001B-4113-1,1,003-100A-001B-4113-1-1,VueloFotogrametrico
-58.4756007384594,-34.5821540831937,45022,061-089-027-21040-1,1,061-089-027-21040-1-1,VueloFotogrametrico
-58.4756130019349,-34.582074769644,45023,061-089-027-21040-1,2,061-089-027-21040-1-2,VueloFotogrametrico
-58.4762640683417,-34.5814025333676,45024,061-090-001A-3014-1,1,061-090-001A-3014-1-1,VueloFotogrametrico
-58.4773283061679,-34.5822143119718,45025,061-090-012-7020-1,1,061-090-012-7020-1-1,VueloFotogrametrico
-58.4773051759546,-34.582182028781,45026,061-090-012-7020-1,2,061-090-012-7020-1-2,VueloFotogrametrico
-58.4771073656579,-34.5824419467355,45027,061-090-014-21053-1,1,061-090-014-21053-1-1,VueloFotogrametrico
-58.4758513295864,-34.5814916651897,45028,061-090-027-3014-1,1,061-090-027-3014-1-1,VueloFotogrametrico
-58.4768520474415,-34.5812479788018,45029,061-091-001A-3014-1,1,061-091-001A-3014-1-1,VueloFotogrametrico
-58.4769166711406,-34.5812617592011,45030,061-091-001B-7023-1,1,061-091-001B-7023-1-1,VueloFotogrametrico
-58.4776367275016,-34.581874347388,45031,061-091-010-7023-1,1,061-091-010-7023-1-1,VueloFotogrametrico
-58.4776221941953,-34.5818209298331,45032,061-091-010-7023-1,2,061-091-010-7023-1-2,VueloFotogrametrico
-58.4773569868187,-34.5821425777788,45033,061-091-013-7020-1,1,061-091-013-7020-1-1,VueloFotogrametrico
-58.4774114663375,-34.5821316934983,45034,061-091-013-7020-1,2,061-091-013-7020-1-2,VueloFotogrametrico
-58.4763982231879,-34.5813699038378,45035,061-091-023-3014-1,1,061-091-023-3014-1-1,VueloFotogrametrico
-58.4774555203255,-34.5821984540873,45036,061-092-000-13033-1,1,061-092-000-13033-1-1,VueloFotogrametrico
-58.4777122776319,-34.5819067887544,45037,061-092-000-7020-1,1,061-092-000-7020-1-1,VueloFotogrametrico
-58.4773697006368,-34.5822753006272,45038,061-093-001-7020-1,1,061-093-001-7020-1-1,VueloFotogrametrico
-58.4774147811778,-34.5822704326232,45039,061-093-001-7020-1,2,061-093-001-7020-1-2,VueloFotogrametrico
-58.4783856030627,-34.5829425136115,45040,061-093-012-13033-1,1,061-093-012-13033-1-1,VueloFotogrametrico
-58.4783780309795,-34.5829205853367,45041,061-093-012-13033-1,2,061-093-012-13033-1-2,VueloFotogrametrico
-58.478231276043,-34.58331109751,45042,061-093-015-21053-1,1,061-093-015-21053-1-1,VueloFotogrametrico
-58.4771627858088,-34.5825229361856,45043,061-093-026B-21053-1,1,061-093-026B-21053-1-1,VueloFotogrametrico
-58.4771687305112,-34.5824904461793,45044,061-093-026B-21053-1,2,061-093-026B-21053-1-2,VueloFotogrametrico
-58.4771046481363,-34.5825825304042,45045,061-094-001-7020-1,1,061-094-001-7020-1-1,VueloFotogrametrico
-58.4781915344331,-34.5833953134915,45046,061-094-014-21053-1,1,061-094-014-21053-1-1,VueloFotogrametrico
-58.4779626268068,-34.5839192955082,45047,061-094-017-4045-1,1,061-094-017-4045-1-1,VueloFotogrametrico
-58.478013354898,-34.5838983287616,45048,061-094-017-4045-1,2,061-094-017-4045-1-2,VueloFotogrametrico
-58.476784266183,-34.5830528975373,45049,061-094-032-7020-1,1,061-094-032-7020-1-1,VueloFotogrametrico
-58.4767644451044,-34.5829419387057,45050,061-094-032-7020-1,2,061-094-032-7020-1-2,VueloFotogrametrico
-58.4782638996231,-34.5821239227801,45051,061-095-001A-7023-1,1,061-095-001A-7023-1-1,VueloFotogrametrico
-58.4790823665021,-34.5825479121164,45052,061-095-007D-7023-1,1,061-095-007D-7023-1-1,VueloFotogrametrico
-58.5115677631737,-34.6331288001277,70756,091-040-013-20026-1,1,091-040-013-20026-1-1,VueloFotogrametrico
-58.5115638839327,-34.6330789002518,70757,091-040-013-20026-1,2,091-040-013-20026-1-2,VueloFotogrametrico
-58.5106882311499,-34.6337444076496,70758,091-040-020-3034-1,1,091-040-020-3034-1-1,VueloFotogrametrico
-58.5107887169575,-34.6337428443574,70759,091-040-020-3034-1,2,091-040-020-3034-1-2,VueloFotogrametrico
-58.5111543153071,-34.6325845371269,70760,091-041-001A-20026-1,1,091-041-001A-20026-1-1,VueloFotogrametrico
-58.5111672701329,-34.6325352159191,70761,091-041-001A-20026-1,2,091-041-001A-20026-1-2,VueloFotogrametrico
-58.5120730592566,-34.6318706042339,70762,091-041-008-9018-1,1,091-041-008-9018-1-1,VueloFotogrametrico
-58.5120365236921,-34.6318659861797,70763,091-041-008-9018-1,2,091-041-008-9018-1-2,VueloFotogrametrico
-58.5125661291894,-34.6323540709302,70764,091-041-013A-19092-1,1,091-041-013A-19092-1-1,VueloFotogrametrico
-58.5200083166685,-34.6084614382023,67915,089-070-014-12081-1,2,089-070-014-12081-1-2,VueloFotogrametrico
-58.519553662477,-34.6082297971667,67916,089-070-017-3265-1,1,089-070-017-3265-1-1,VueloFotogrametrico
-58.5195461490707,-34.6081711688469,67917,089-070-017-3265-1,2,089-070-017-3265-1-2,VueloFotogrametrico
-58.5194589886699,-34.606088662002,67918,089-071-001-1131-1,1,089-071-001-1131-1-1,VueloFotogrametrico
-58.5194979250114,-34.6060856509073,67919,089-071-001-1131-1,2,089-071-001-1131-1-2,VueloFotogrametrico
-58.5206305004249,-34.6068107396787,67920,089-071-009D-1131-1,1,089-071-009D-1131-1-1,VueloFotogrametrico
-58.5206075142884,-34.6067605972974,67921,089-071-009D-1131-1,2,089-071-009D-1131-1-2,VueloFotogrametrico
-58.5200693040455,-34.6073962568744,67922,089-071-013C-13123-1,1,089-071-013C-13123-1-1,VueloFotogrametrico
-58.520127453706,-34.6073841291454,67923,089-071-013C-13123-1,2,089-071-013C-13123-1-2,VueloFotogrametrico
-58.518945120631,-34.6067005175995,67924,089-071-020-13123-1,1,089-071-020-13123-1-1,VueloFotogrametrico
-58.5189440369256,-34.6066504993292,67925,089-071-020-13123-1,2,089-071-020-13123-1-2,VueloFotogrametrico
-58.5187968344501,-34.6046188281053,67926,089-072-001-14027-1,1,089-072-001-14027-1-1,VueloFotogrametrico
-58.518841539854,-34.6046114022196,67927,089-072-001-14027-1,2,089-072-001-14027-1-2,VueloFotogrametrico
-58.519983543885,-34.6053522990256,67928,089-072-009-1064-1,1,089-072-009-1064-1-1,VueloFotogrametrico
-58.5199772394866,-34.605313929345,67929,089-072-009-1064-1,2,089-072-009-1064-1-2,VueloFotogrametrico
-58.5194400296172,-34.6059275392286,67930,089-072-012C-1131-1,1,089-072-012C-1131-1-1,VueloFotogrametrico
-58.5194803831838,-34.6059156149196,67931,089-072-012C-1131-1,2,089-072-012C-1131-1-2,VueloFotogrametrico
-58.5182974960273,-34.6052395482523,67932,089-072-017K-1131-1,1,089-072-017K-1131-1-1,VueloFotogrametrico
-58.5182955245237,-34.6051675500678,67933,089-072-017K-1131-1,2,089-072-017K-1131-1-2,VueloFotogrametrico
-58.5187586660254,-34.6044563146541,67934,089-073A-001A-14027-1,1,089-073A-001A-14027-1-1,VueloFotogrametrico
-58.4402769427971,-34.6642942085715,61852,052-026-010-17111-1,1,052-026-010-17111-1-1,VueloFotogrametrico
-58.5166104588519,-34.6172376272014,66729,087-021B-001-13064-1,1,087-021B-001-13064-1-1,VueloFotogrametrico
-58.5172243634189,-34.6178363506944,66730,087-021B-009-3023-1,1,087-021B-009-3023-1-1,VueloFotogrametrico
-58.5172166096944,-34.6177955198174,66731,087-021B-009-3023-1,2,087-021B-009-3023-1-2,VueloFotogrametrico
-58.5164915329395,-34.6183556371187,66732,087-021B-017C-14025-1,1,087-021B-017C-14025-1-1,VueloFotogrametrico
-58.5195923504275,-34.6139880674273,66791,087-026A-001-20097-1,1,087-026A-001-20097-1-1,VueloFotogrametrico
-58.519610807647,-34.6139343430485,66792,087-026A-001-20097-1,2,087-026A-001-20097-1-2,VueloFotogrametrico
-58.5205475756568,-34.6132897482971,66793,087-026A-012-23013-1,1,087-026A-012-23013-1-1,VueloFotogrametrico
-58.5204899352786,-34.6132856015536,66794,087-026A-012-23013-1,2,087-026A-012-23013-1-2,VueloFotogrametrico
-58.5208763270517,-34.6136029557877,66795,087-026A-016-23013-1,1,087-026A-016-23013-1-1,VueloFotogrametrico
-58.5199403553755,-34.6143190041535,66796,087-026A-025-20097-1,1,087-026A-025-20097-1-1,VueloFotogrametrico
-58.5200176514013,-34.614369420747,66797,087-026B-001-20097-1,1,087-026B-001-20097-1-1,VueloFotogrametrico
-58.520949494688,-34.6136724074659,66798,087-026B-010-23013-1,1,087-026B-010-23013-1-1,VueloFotogrametrico
-58.5212362905276,-34.6139204480974,66799,087-026B-013-23013-1,1,087-026B-013-23013-1-1,VueloFotogrametrico
-58.5202721241142,-34.6146506271435,66800,087-026B-023-14001-1,1,087-026B-023-14001-1-1,VueloFotogrametrico
-58.5203517037946,-34.6147125172636,66801,087-026C-001A-20097-1,1,087-026C-001A-20097-1-1,VueloFotogrametrico
-58.5213052416624,-34.6139906461271,66802,087-026C-010-23013-1,1,087-026C-010-23013-1-1,VueloFotogrametrico
-58.5217158254301,-34.6143674933137,66803,087-026C-015-3023-1,1,087-026C-015-3023-1-1,VueloFotogrametrico
-58.5217140200589,-34.6143248834293,66804,087-026C-015-3023-1,2,087-026C-015-3023-1-2,VueloFotogrametrico
-58.5207804594276,-34.6151017812268,66805,087-026C-026-3023-1,1,087-026C-026-3023-1-1,VueloFotogrametrico
-58.520697398537,-34.6150979220558,66806,087-026C-026-3023-1,2,087-026C-026-3023-1-2,VueloFotogrametrico
-58.5159987236339,-34.584606638268,66562,083-999-999-17041-6,1,083-999-999-17041-6-1,VueloFotogrametrico
-58.5167704075469,-34.5844804463842,66563,083-999-999-17041-6,2,083-999-999-17041-6-2,VueloFotogrametrico
-58.516784790924,-34.5843889507594,66564,083-999-999-17041-6,3,083-999-999-17041-6-3,VueloFotogrametrico
-58.516151327456,-34.5848873667928,66565,083-999-999-17041-7,1,083-999-999-17041-7-1,VueloFotogrametrico
-58.5167634957625,-34.5845593807629,66566,083-999-999-17041-7,2,083-999-999-17041-7-2,VueloFotogrametrico
-58.5031015307807,-34.5946790524801,66567,083-999-999-20045-1,1,083-999-999-20045-1-1,VueloFotogrametrico
-58.4997428017299,-34.5959033242937,66568,083-999-999-20045-10,1,083-999-999-20045-10-1,VueloFotogrametrico
-58.5182684741595,-34.5893651801325,66569,083-999-999-20045-11,1,083-999-999-20045-11-1,VueloFotogrametrico
-58.5189895848777,-34.5891574458925,66570,083-999-999-20045-11,2,083-999-999-20045-11-2,VueloFotogrametrico
-58.5183970968697,-34.589610659907,66571,083-999-999-20045-12,1,083-999-999-20045-12-1,VueloFotogrametrico
-58.5191053649445,-34.5894075425438,66572,083-999-999-20045-12,2,083-999-999-20045-12-2,VueloFotogrametrico
-58.5156203483254,-34.5902128459243,66573,083-999-999-20045-13,1,083-999-999-20045-13-1,VueloFotogrametrico
-58.5024339784808,-34.5949893373843,66574,083-999-999-20045-2,1,083-999-999-20045-2-1,VueloFotogrametrico
-58.5072282807599,-34.5930219183668,66575,083-999-999-20045-3,1,083-999-999-20045-3-1,VueloFotogrametrico
-58.5076118377341,-34.5929753202133,66576,083-999-999-20045-4,1,083-999-999-20045-4-1,VueloFotogrametrico
-58.5087208619729,-34.5925129463977,66577,083-999-999-20045-5,1,083-999-999-20045-5-1,VueloFotogrametrico
-58.5107337587592,-34.5917340975999,66578,083-999-999-20045-6,1,083-999-999-20045-6-1,VueloFotogrametrico
-58.5112376093442,-34.5916528054471,66579,083-999-999-20045-7,1,083-999-999-20045-7-1,VueloFotogrametrico
-58.5151465559645,-34.5904259252252,66580,083-999-999-20045-8,1,083-999-999-20045-8-1,VueloFotogrametrico
-58.5156704788614,-34.5903331369739,66581,083-999-999-20045-9,1,083-999-999-20045-9-1,VueloFotogrametrico
-58.4065420502291,-34.6540465691201,54404,034-077-013B-17056-1,2,034-077-013B-17056-1-2,VueloFotogrametrico
-58.4065619047393,-34.6539888887897,54405,034-077-013B-17056-1,3,034-077-013B-17056-1-3,VueloFotogrametrico
-58.4052421964045,-34.6537604013833,54406,034-077-025A-19038-1,1,034-077-025A-19038-1-1,VueloFotogrametrico
-58.4052146207492,-34.6537146488409,54407,034-077-025A-19038-1,2,034-077-025A-19038-1-2,VueloFotogrametrico
-58.4061338106186,-34.6511572856596,54408,034-078A-001C-5032-1,1,034-078A-001C-5032-1-1,VueloFotogrametrico
-58.4061778057118,-34.6511544611044,54409,034-078A-001C-5032-1,2,034-078A-001C-5032-1-2,VueloFotogrametrico
-58.4065977218328,-34.6514821545323,54410,034-078A-005-1036-1,1,034-078A-005-1036-1-1,VueloFotogrametrico
-58.4066162552833,-34.6515495913064,54411,034-078A-006-13013-1,1,034-078A-006-13013-1-1,VueloFotogrametrico
-58.4062151736472,-34.6527799986918,54412,034-078A-020A-99591-1,1,034-078A-020A-99591-1-1,VueloFotogrametrico
-58.4055962771837,-34.6525967234807,54413,034-078A-021D-5032-1,1,034-078A-021D-5032-1-1,VueloFotogrametrico
-58.4067578079948,-34.6516071432732,54414,034-078B-001A-1036-1,1,034-078B-001A-1036-1-1,VueloFotogrametrico
-58.4066966617949,-34.6516049507059,54415,034-078B-001A-1036-1,2,034-078B-001A-1036-1-2,VueloFotogrametrico
-58.4072213140967,-34.6520496147967,54416,034-078B-006A-17056-1,1,034-078B-006A-17056-1-1,VueloFotogrametrico
-58.4071816351709,-34.6519538359095,54417,034-078B-006A-17056-1,2,034-078B-006A-17056-1-2,VueloFotogrametrico
-58.4068580504576,-34.6530238728626,54418,034-078B-016-17056-1,1,034-078B-016-17056-1-1,VueloFotogrametrico
-58.4062732071772,-34.652809345168,54419,034-078B-021-99591-1,1,034-078B-021-99591-1-1,VueloFotogrametrico
-58.4072413164076,-34.6518045816339,54420,034-079A-000-1036-1,1,034-079A-000-1036-1-1,VueloFotogrametrico
-58.4072781331789,-34.6516909755936,54421,034-079A-000-1036-1,2,034-079A-000-1036-1-2,VueloFotogrametrico
-58.4067603081614,-34.6514588345783,54422,034-079A-000-1036-1,3,034-079A-000-1036-1-3,VueloFotogrametrico
-58.4403779356385,-34.5808449518279,59869,035-035A-027-1106-1,1,035-035A-027-1106-1-1,VueloFotogrametrico
-58.4323321869818,-34.6635662822055,62203,052-087-021-3203-1,2,052-087-021-3203-1-2,VueloFotogrametrico
-58.431169327377,-34.6629907338268,62204,052-087-032C-2067-1,1,052-087-032C-2067-1-1,VueloFotogrametrico
-58.4311627883427,-34.6629180326623,62205,052-087-032C-2067-1,2,052-087-032C-2067-1-2,VueloFotogrametrico
-58.4329912083112,-34.6609226346989,62206,052-089-001-19003-1,1,052-089-001-19003-1-1,VueloFotogrametrico
-58.4330524409541,-34.6609161320253,62207,052-089-001-19003-1,2,052-089-001-19003-1-2,VueloFotogrametrico
-58.4340043570588,-34.6613632823526,62208,052-089-010-3203-1,1,052-089-010-3203-1-1,VueloFotogrametrico
-58.4548558617006,-34.6591914885186,62325,056-109K-002-4025-1,2,056-109K-002-4025-1-2,VueloFotogrametrico
-58.4547476411291,-34.6560390295004,62326,056-109L-000B-1006-1,1,056-109L-000B-1006-1-1,VueloFotogrametrico
-58.4548132468453,-34.656006384355,62327,056-109L-000B-1006-1,2,056-109L-000B-1006-1-2,VueloFotogrametrico
-58.4537798266959,-34.6567081988028,62328,056-109L-000C-1006-2,1,056-109L-000C-1006-2-1,VueloFotogrametrico
-58.4508817392413,-34.6606335665461,62329,056-121A-001-13037-1,1,056-121A-001-13037-1-1,VueloFotogrametrico
-58.4509476876773,-34.6606326001961,62330,056-121A-001-13037-1,2,056-121A-001-13037-1-2,VueloFotogrametrico
-58.4519634551589,-34.6614607055031,62331,056-121A-013-22006-1,1,056-121A-013-22006-1-1,VueloFotogrametrico
-58.4512581726703,-34.6620146159788,62332,056-121A-022-17100-1,1,056-121A-022-17100-1-1,VueloFotogrametrico
-58.4513229255988,-34.662008138024,62333,056-121A-022-17100-1,2,056-121A-022-17100-1-2,VueloFotogrametrico
-58.4502387282023,-34.6611881751228,62334,056-121A-034-17100-1,1,056-121A-034-17100-1-1,VueloFotogrametrico
-58.4502452968291,-34.6611299038084,62335,056-121A-034-17100-1,2,056-121A-034-17100-1-2,VueloFotogrametrico
-58.4501831974721,-34.6612364808817,62336,056-121B-001-13037-1,1,056-121B-001-13037-1-1,VueloFotogrametrico
-58.4501236649359,-34.6612292939618,62337,056-121B-001-13037-1,2,056-121B-001-13037-1-2,VueloFotogrametrico
-58.4511982641801,-34.6620992184651,62338,056-121B-013-17100-1,1,056-121B-013-17100-1-1,VueloFotogrametrico
-58.4511925185862,-34.6620586709474,62339,056-121B-013-17100-1,2,056-121B-013-17100-1-2,VueloFotogrametrico
-58.4505657458057,-34.6626031609514,62340,056-121B-022-12031-1,1,056-121B-022-12031-1-1,VueloFotogrametrico
-58.4494742147048,-34.6618131263437,62341,056-121B-034-13037-1,1,056-121B-034-13037-1-1,VueloFotogrametrico
-58.4494771819117,-34.6617254714324,62342,056-121B-034-13037-1,2,056-121B-034-13037-1-2,VueloFotogrametrico
-58.4498856123191,-34.659778712244,62343,056-138A-001-1006-1,1,056-138A-001-1006-1-1,VueloFotogrametrico
-58.4508103967048,-34.6605699597867,62344,056-138A-012-22006-1,1,056-138A-012-22006-1-1,VueloFotogrametrico
-58.4507962057351,-34.6604939354486,62345,056-138A-012-22006-1,2,056-138A-012-22006-1-2,VueloFotogrametrico
-58.4501760965151,-34.6610757390697,62346,056-138A-020-13037-1,1,056-138A-020-13037-1-1,VueloFotogrametrico
-58.4500857795705,-34.6610727511298,62347,056-138A-020-13037-1,2,056-138A-020-13037-1-2,VueloFotogrametrico
-58.4491999586796,-34.6603350886143,62348,056-138A-030-1006-1,1,056-138A-030-1006-1-1,VueloFotogrametrico
-58.4492102848231,-34.6602895115306,62349,056-138A-030-1006-1,2,056-138A-030-1006-1-2,VueloFotogrametrico
-58.4491389930177,-34.6603922631122,62350,056-138B-001-1006-1,1,056-138B-001-1006-1-1,VueloFotogrametrico
-58.449098114135,-34.6603889849864,62351,056-138B-001-1006-1,2,056-138B-001-1006-1-2,VueloFotogrametrico
-58.4500481286003,-34.661159346758,62352,056-138B-012-17100-1,1,056-138B-012-17100-1-1,VueloFotogrametrico
-58.4500355548884,-34.6611126041455,62353,056-138B-012-17100-1,2,056-138B-012-17100-1-2,VueloFotogrametrico
-58.4493161312366,-34.6616802740247,62354,056-138B-020-2029-1,1,056-138B-020-2029-1-1,VueloFotogrametrico
-58.4494185452581,-34.661673640752,62355,056-138B-020-2029-1,2,056-138B-020-2029-1-2,VueloFotogrametrico
-58.4484364877522,-34.6609566234688,62356,056-138B-031-2029-1,1,056-138B-031-2029-1-1,VueloFotogrametrico
-58.4484504205565,-34.6608870019911,62357,056-138B-031-2029-1,2,056-138B-031-2029-1-2,VueloFotogrametrico
-58.4487590892718,-34.6606405367293,62358,056-138B-035-1006-1,1,056-138B-035-1006-1-1,VueloFotogrametrico
-58.4569580454026,-34.6542939643407,62359,056-157-001-3086-1,1,056-157-001-3086-1-1,VueloFotogrametrico
-58.4570383688709,-34.6542947061102,62360,056-157-001-3086-1,2,056-157-001-3086-1-2,VueloFotogrametrico
-58.4579993076214,-34.6567469317683,62361,056-166-002-12031-1,1,056-166-002-12031-1-1,VueloFotogrametrico
-58.4566272023429,-34.6594489326085,62362,056-185A-000-20108-2,1,056-185A-000-20108-2-1,VueloFotogrametrico
-58.4557069879083,-34.6586606165266,62363,056-185A-000-20108-1,1,056-185A-000-20108-1-1,VueloFotogrametrico
-58.4557463150431,-34.6586262166237,62364,056-185A-000-20108-1,2,056-185A-000-20108-1-2,VueloFotogrametrico
-58.4555927438573,-34.6584683972013,62365,056-19G-999-12031-1,1,056-19G-999-12031-1-1,VueloFotogrametrico
-58.4531405150519,-34.6625309430826,62366,056-999-999-12006-3,1,056-999-999-12006-3-1,VueloFotogrametrico
-58.4524983738957,-34.6630350007055,62367,056-999-999-17100-1,1,056-999-999-17100-1-1,VueloFotogrametrico
-58.4340625943523,-34.6697546020578,62368,058-014G-000-17067-1,1,058-014G-000-17067-1-1,VueloFotogrametrico
-58.4416828808323,-34.667966118611,62369,058-014G-000-19057-1,1,058-014G-000-19057-1-1,VueloFotogrametrico
-58.4416108242034,-34.6678794814571,62370,058-014G-000-19057-1,2,058-014G-000-19057-1-2,VueloFotogrametrico
-58.4378280525492,-34.6675817807922,62371,058-014G-000-17067-1,1,058-014G-000-17067-1-1,VueloFotogrametrico
-58.4380717141572,-34.6674408285186,62372,058-014G-000-17067-1,2,058-014G-000-17067-1-2,VueloFotogrametrico
-58.4407318727426,-34.6670144939085,62373,058-014G-000-19057-1,1,058-014G-000-19057-1-1,VueloFotogrametrico
-58.4400123758286,-34.6663640006243,62374,058-014G-000-19057-1,2,058-014G-000-19057-1-2,VueloFotogrametrico
-58.439961819851,-34.6663600024803,62375,058-014G-000-19057-1,3,058-014G-000-19057-1-3,VueloFotogrametrico
-58.434344964807,-34.6695911532901,62376,058-014G-000-17067-1,1,058-014G-000-17067-1-1,VueloFotogrametrico
-58.4354647635976,-34.6689470415781,62377,058-014G-000-17067-1,2,058-014G-000-17067-1-2,VueloFotogrametrico
-58.4859477237887,-34.6021203111508,4151,069-036-001-3152-1,1,069-036-001-3152-1-1,VueloFotogrametrico
-58.4859438535176,-34.6020874375848,4152,069-036-001-3152-1,2,069-036-001-3152-1-2,VueloFotogrametrico
-58.4866504548589,-34.6013066933809,4153,069-036-011-2010-1,1,069-036-011-2010-1-1,VueloFotogrametrico
-58.4867048797735,-34.6013064816142,4154,069-036-011-2010-1,2,069-036-011-2010-1-2,VueloFotogrametrico
-58.4876987483155,-34.6019052243304,4155,069-036-020-2010-1,1,069-036-020-2010-1-1,VueloFotogrametrico
-58.4876873208254,-34.6018753766277,4156,069-036-020-2010-1,2,069-036-020-2010-1-2,VueloFotogrametrico
-58.4869168700307,-34.6027049630413,4157,069-036-029B-20079-1,1,069-036-029B-20079-1-1,VueloFotogrametrico
-58.4870266367788,-34.602693212814,4158,069-036-029B-20079-1,2,069-036-029B-20079-1-2,VueloFotogrametrico
-58.4867702289331,-34.6012418646894,4159,069-037-001-2010-1,1,069-037-001-2010-1-1,VueloFotogrametrico
-58.4868932018068,-34.6011292798193,4160,069-037-001-2010-1,2,069-037-001-2010-1-2,VueloFotogrametrico
-58.4868309829681,-34.6011277059054,4161,069-037-001-2010-1,3,069-037-001-2010-1-3,VueloFotogrametrico
-58.4882762768619,-34.6012557435128,4162,069-037-010A-7112-1,1,069-037-010A-7112-1-1,VueloFotogrametrico
-58.4877706275868,-34.6018125933621,4163,069-037-013-2010-1,1,069-037-013-2010-1-1,VueloFotogrametrico
-58.4878238474019,-34.6018023325545,4164,069-037-013-2010-1,2,069-037-013-2010-1-2,VueloFotogrametrico
-58.4871300892315,-34.6008045409747,4165,069-038-001-3152-1,1,069-038-001-3152-1-1,VueloFotogrametrico
-58.4871028636295,-34.6008029766304,4166,069-038-001-3152-1,2,069-038-001-3152-1-2,VueloFotogrametrico
-58.487440287487,-34.6004363480287,4167,069-038-004A-14025-1,1,069-038-004A-14025-1-1,VueloFotogrametrico
-58.487485451753,-34.6004346519654,4168,069-038-004A-14025-1,2,069-038-004A-14025-1-2,VueloFotogrametrico
-58.4797223805702,-34.6068812394667,4169,069-039A-001-2093-1,1,069-039A-001-2093-1-1,VueloFotogrametrico
-58.4906381527639,-34.6068349389283,3894,069-005-028-20068-1,1,069-005-028-20068-1-1,VueloFotogrametrico
-58.4826707738528,-34.6584839651359,27293,062-098B-028-10016-1,1,062-098B-028-10016-1-1,VueloFotogrametrico
-58.4842409192839,-34.6561905057483,27294,062-099A-001A-2032-1,1,062-099A-001A-2032-1-1,VueloFotogrametrico
-58.4842095412466,-34.6561890871828,27295,062-099A-001A-2032-1,2,062-099A-001A-2032-1-2,VueloFotogrametrico
-58.4849159372218,-34.656784973665,27296,062-099A-009-12018-1,1,062-099A-009-12018-1-1,VueloFotogrametrico
-58.4849114047656,-34.6567312994805,27297,062-099A-009-12018-1,2,062-099A-009-12018-1-2,VueloFotogrametrico
-58.4837722372823,-34.6576577267037,27298,062-099A-021A-13111-1,1,062-099A-021A-13111-1-1,VueloFotogrametrico
-58.4833428461581,-34.657313755851,27299,062-099A-023B-2032-1,1,062-099A-023B-2032-1-1,VueloFotogrametrico
-58.4833571890701,-34.6572542893235,27300,062-099A-023B-2032-1,2,062-099A-023B-2032-1-2,VueloFotogrametrico
-58.4834815952508,-34.6567466721814,27301,062-099A-028A-2032-1,1,062-099A-028A-2032-1-1,VueloFotogrametrico
-58.4832142543865,-34.6572170313028,27302,062-099B-000-13111-1,1,062-099B-000-13111-1-1,VueloFotogrametrico
-58.4833046993481,-34.6572138744542,27303,062-099B-000-13111-1,2,062-099B-000-13111-1-2,VueloFotogrametrico
-58.4828562300464,-34.6569221791691,27304,062-099B-000-2032-1,1,062-099B-000-2032-1-1,VueloFotogrametrico
-58.4828784015929,-34.656859901563,27305,062-099B-000-2032-1,2,062-099B-000-2032-1-2,VueloFotogrametrico
-58.4833832518796,-34.6568198510464,27306,062-099B-000-2032-2,1,062-099B-000-2032-2-1,VueloFotogrametrico
-58.4833315740984,-34.65677326142,27307,062-099B-000-2032-2,2,062-099B-000-2032-2-2,VueloFotogrametrico
-58.4854394540817,-34.6552170113467,27308,062-100A-001-2081-1,1,062-100A-001-2081-1-1,VueloFotogrametrico
-58.485498321544,-34.6552175399015,27309,062-100A-001-2081-1,2,062-100A-001-2081-1-2,VueloFotogrametrico
-58.486162335575,-34.6558117543453,27310,062-100A-008-2081-1,1,062-100A-008-2081-1-1,VueloFotogrametrico
-58.4861548498098,-34.655747097854,27311,062-100A-008-2081-1,2,062-100A-008-2081-1-2,VueloFotogrametrico
-58.48132211156,-34.6579576526895,27412,062-111C-000-3218-1,1,062-111C-000-3218-1-1,VueloFotogrametrico
-58.4813563920595,-34.6579539679291,27413,062-111C-000-3218-1,2,062-111C-000-3218-1-2,VueloFotogrametrico
-58.4816259983571,-34.6577452066501,27414,062-111C-000-2032-1,1,062-111C-000-2032-1-1,VueloFotogrametrico
-58.4816196409395,-34.6577039704185,27415,062-111C-000-2032-1,2,062-111C-000-2032-1-2,VueloFotogrametrico
